label,x,y,plot_type,plot_num
FLKeys,6825.41190004348,248901.33376327044,path,3
FLKeys,7565.954334039983,166591.66073406552,path,3
FLKeys,8386.844021005341,166591.66073406552,path,3
FLKeys,9296.79846416865,94403.9782597173,path,3
FLKeys,10305.48099701132,94403.9782597173,path,3
FLKeys,11423.60340380451,48147.768596867296,path,3
FLKeys,12663.03967425292,48147.768596867296,path,3
FLKeys,14036.9521002716,26671.956847518064,path,3
FLKeys,15559.9310539903,26671.956847518064,path,3
FLKeys,17248.149931369157,20874.129843870054,path,3
FLKeys,19119.536906861642,20874.129843870054,path,3
FLKeys,21193.965323087043,26453.459517407522,path,3
FLKeys,23493.46473737093,26453.459517407522,path,3
FLKeys,26042.454866378786,26453.459517407522,path,3
FLKeys,28868.004913236655,48677.292631323646,path,3
FLKeys,32000.12103108369,48677.292631323646,path,3
FLKeys,35472.06497579867,75882.09969030945,path,3
FLKeys,39320.707331858175,75882.09969030945,path,3
FLKeys,43586.91906243706,45292.04282903194,path,3
FLKeys,48316.00554184791,45292.04282903194,path,3
FLKeys,53558.18767956189,33049.30972492657,path,3
FLKeys,59369.135245145706,33390.40307874925,path,3
FLKeys,65810.55805780078,38187.916507173904,path,3
FLKeys,72950.86131868987,43470.586867234946,path,3
FLKeys,80865.87204540361,43470.586867234946,path,3
FLKeys,89639.64432299628,46730.54599034659,path,3
FLKeys,99365.35192301817,46730.54599034659,path,3
FLKeys,110146.27776978235,48458.777659111176,path,3
FLKeys,122096.91076158309,48458.777659111176,path,3
FLKeys,135344.1615946442,48066.62599745178,path,3
FLKeys,150028.71050133722,48066.62599745178,path,3
FLKeys,166306.50121508297,48722.15246065955,path,3
FLKeys,184350.39702721333,48722.15246065955,path,3
FLKeys,204352.01652242412,50697.2146199404,path,3
FLKeys,226523.76848755384,50697.2146199404,path,3
FLKeys,251101.10760356585,55121.5332186802,path,3
FLKeys,278345.0348752338,55121.5332186802,path,3
FLKeys,308544.86935204174,62401.323415802966,path,3
FLKeys,342021.32057480776,62401.323415802966,path,3
FLKeys,379129.8943761269,62815.910353576044,path,3
FLKeys,420264.6682027942,68247.1792221376,path,3
FLKeys,465862.4760525513,68247.1792221376,path,3
FLKeys,516407.54746742046,75124.07118527875,path,3
FLKeys,572436.6498477837,75124.07118527875,path,3
FLKeys,634544.7886964265,95083.44271472044,path,3
FLKeys,703391.5263267301,95083.44271472044,path,3
FLKeys,779707.9861370445,95083.44271472044,path,3
FLKeys,864304.6168336852,128345.38879828122,path,3
FLKeys,958079.799055341,128345.38879828122,path,3
FLKeys,1062029.3857976138,128345.38879828122,path,3
FLKeys,1177257.2779530117,226106.06077502063,path,3
FLKeys,1304987.1472741396,226106.06077502063,path,3
FLKeys,1446575.4312530702,226106.06077502063,path,3
FLKeys,1603525.7379170344,141032.54696595823,path,3
FLKeys,1777504.8135132685,141032.54696595823,path,3
FLKeys,1970360.2426531913,141032.54696595823,path,3
FLKeys,2184140.0688839057,141032.54696595823,path,3
FLKeys,2421114.5440493156,141032.54696595823,path,3
FLKeys,2683800.237409917,338944.26069261867,path,3
FLKeys,0.0,226033.366090983,path,4
FLKeys,100.0,226033.366090983,path,4
FLKeys,110.85309885314987,226033.366090983,path,4
FLKeys,122.88409525346215,226033.366090983,path,4
FLKeys,136.22082758611936,233005.7986001338,path,4
FLKeys,151.00500866261976,233005.7986001338,path,4
FLKeys,167.3937315259814,239007.6364539514,path,4
FLKeys,185.56113868247246,239007.6364539514,path,4
FLKeys,205.7002724967119,241769.10298728372,path,4
FLKeys,228.02512641197868,241769.10298728372,path,4
FLKeys,252.77291879149067,240780.22982393397,path,4
FLKeys,280.2066135419234,240780.22982393397,path,4
FLKeys,310.6177143026919,237774.22080827825,path,4
FLKeys,344.32936189135773,237774.22080827825,path,4
FLKeys,381.6997679178473,237774.22080827825,path,4
FLKeys,423.12602105221487,234967.03403969322,path,4
FLKeys,469.0483063904114,234967.03403969322,path,4
FLKeys,519.9545827519886,232765.96589019554,path,4
FLKeys,576.3857676095447,232765.96589019554,path,4
FLKeys,638.9414847436954,230200.70147195875,path,4
FLKeys,708.286435696712,230200.70147195875,path,4
FLKeys,785.1574627263279,226546.58937540342,path,4
FLKeys,870.3713783088995,226546.58937540342,path,4
FLKeys,964.8336443862884,222038.79351235813,path,4
FLKeys,1069.5479935799806,222038.79351235813,path,4
FLKeys,1185.6270946050968,222038.79351235813,path,4
FLKeys,1314.3043752123172,217216.23605838296,path,4
FLKeys,1456.9471282853838,217216.23605838296,path,4
FLKeys,1615.0710403563255,211250.72714921206,path,4
FLKeys,1790.3562969147933,211250.72714921206,path,4
FLKeys,1984.66543564255,202854.90962361087,path,4
FLKeys,2200.063137277133,202854.90962361087,path,4
FLKeys,2438.838164397532,190836.44773653106,path,4
FLKeys,2703.5276812479415,190836.44773653106,path,4
FLKeys,2996.944213016051,174223.30567510912,path,4
FLKeys,3322.205531028439,174223.30567510912,path,4
FLKeys,3682.7677814157682,174223.30567510912,path,4
FLKeys,4082.462209264778,152391.17366644597,path,4
FLKeys,4525.53586847877,152391.17366644597,path,4
FLKeys,5016.696749919528,123792.90574869335,path,4
FLKeys,5561.163807351049,123792.90574869335,path,4
FLKeys,6164.722412748455,91228.70771542192,path,4
FLKeys,6833.78583022633,91228.70771542192,path,4
FLKeys,7575.463361793342,62097.687838379,path,4
FLKeys,8397.635889032928,62097.687838379,path,4
FLKeys,9309.03961339726,42758.356477285444,path,4
FLKeys,10319.358884918152,42758.356477285444,path,4
FLKeys,11439.329105709621,42758.356477285444,path,4
FLKeys,12680.85080168943,35022.90554760261,path,4
FLKeys,14057.11607461723,35022.90554760261,path,4
